scale_factor,query,formula(s),counting(s),why(s)
1,3_tpch.sql,.06669185330000000000,.06710310830000000000,.07155613140000000000
1,6_tpch.sql,169.361591383,4.187313172,1432.420079236
1,7_tpch.sql,.56011519110000000000,.49532062890000000000,.81439917740000000000
1,9_tpch.sql,2.52209370940000000000,2.44602406780000000000,3.04933453770000000000
1,10_tpch.sql,.22597383540000000000,.22295498920000000000,.22346998040000000000
1,12_tpch.sql,6.10917893030000000000,2.96028582820000000000,31.97154661440000000000
1,14_tpch.sql,.03549132620000000000,.03535290320000000000,.03547175760000000000
1,19_tpch.sql,.45836310640000000000,.46029643940000000000,.45804962450000000000
2,3_tpch.sql,.07933501660000000000,.08104788560000000000,.08673469170000000000
2,6_tpch.sql,689.087112253,7.793501086,1500.001920857
2,7_tpch.sql,1.23116013060000000000,1.02200638430000000000,2.00103971940000000000
2,9_tpch.sql,5.12184357970000000000,4.80449105800000000000,6.03492851830000000000
2,10_tpch.sql,.38657248350000000000,.38673972320000000000,.38471702320000000000
2,12_tpch.sql,19.86673697550000000000,5.73581889520000000000,119.83720011270000000000
2,14_tpch.sql,.03530278030000000000,.03538940950000000000,.03530392560000000000
2,19_tpch.sql,.82927883510000000000,.83773274610000000000,.83629570050000000000
3,3_tpch.sql,.06962751600000000000,.06914239880000000000,.07626379090000000000
3,6_tpch.sql,1500.002769740,11.863038616,1500.002089109
3,7_tpch.sql,1.96751514450000000000,1.87062523600000000000,1.89742392630000000000
3,9_tpch.sql,8.34091206720000000000,7.51932077590000000000,10.24394753440000000000
3,10_tpch.sql,.54816213400000000000,.54896342880000000000,.54741053420000000000
3,12_tpch.sql,54.96543068350000000000,8.63932903120000000000,280.58921326220000000000
3,14_tpch.sql,.03541944720000000000,.03511647430000000000,.03526990470000000000
3,19_tpch.sql,1.42334127790000000000,1.42320124210000000000,1.44856510070000000000
4,3_tpch.sql,.13105173820000000000,.07194648710000000000,.07597239860000000000
4,6_tpch.sql,1500.001943835,16.625390100,1500.001894935
4,7_tpch.sql,5.99300573830000000000,3.37395515050000000000,10.30678895690000000000
4,9_tpch.sql,11.10663226740000000000,9.92535265030000000000,14.08102410150000000000
4,10_tpch.sql,.71988986310000000000,.71349908960000000000,.71770872780000000000
4,12_tpch.sql,122.43892820810000000000,11.43597246250000000000,506.71783642120000000000
4,14_tpch.sql,.03784836120000000000,.03310445820000000000,.03360972440000000000
4,19_tpch.sql,1.74388744670000000000,1.75134193420000000000,1.78232600080000000000
5,3_tpch.sql,.14885035490000000000,.08014410500000000000,.09011304200000000000
5,6_tpch.sql,1500.002031045,20.010327594,1500.001966876
5,7_tpch.sql,9.23380855010000000000,4.11543446640000000000,15.22804478430000000000
5,9_tpch.sql,14.81867509440000000000,12.53709392920000000000,18.92659066990000000000
5,10_tpch.sql,.93133792030000000000,.91569389040000000000,.92571381210000000000
5,12_tpch.sql,214.92862795040000000000,14.26837526290000000000,824.84544368830000000000
5,14_tpch.sql,.03999119110000000000,.03538817630000000000,.03570226620000000000
5,19_tpch.sql,2.12342469110000000000,2.13669428700000000000,2.15168948970000000000
6,3_tpch.sql,.09430115400000000000,.07118626050000000000,.07317531950000000000
6,6_tpch.sql,1500.010029120,60.325223365,1500.001892873
6,7_tpch.sql,9.62735689930000000000,5.10603743780000000000,18.88611179220000000000
6,9_tpch.sql,19.32709973120000000000,15.45744056850000000000,24.53701673380000000000
6,10_tpch.sql,1.08729152490000000000,1.07422265410000000000,1.07985055340000000000
6,12_tpch.sql,329.86309357230000000000,18.73046020550000000000,1192.73717850110000000000
6,14_tpch.sql,.03676305870000000000,.04022551300000000000,.03674757750000000000
6,19_tpch.sql,2.45910036600000000000,2.45164973300000000000,2.47179966550000000000
7,3_tpch.sql,.08072036400000000000,.06287775230000000000,.06458211340000000000
7,6_tpch.sql,1500.002022591,64.629029093,1500.002066819
7,7_tpch.sql,12.58877095810000000000,6.78647275610000000000,25.31866974690000000000
7,9_tpch.sql,23.02905216930000000000,18.20534629360000000000,29.56066774540000000000
7,10_tpch.sql,2.19034931410000000000,2.19088458910000000000,2.20189646210000000000
7,12_tpch.sql,459.02527490680000000000,22.42192375630000000000,1500.0000
7,14_tpch.sql,.05131531030000000000,.04260782070000000000,.04295609200000000000
7,19_tpch.sql,2.79450909320000000000,2.80359887770000000000,2.84872352860000000000
8,3_tpch.sql,.07822075720000000000,.05744104940000000000,.06067639570000000000
8,6_tpch.sql,1500.004281436,87.969334249,1500.001922026
8,7_tpch.sql,16.73697424270000000000,7.55398693160000000000,30.85401895290000000000
8,9_tpch.sql,24.79557216140000000000,20.47164546590000000000,34.88900779370000000000
8,10_tpch.sql,2.48971949980000000000,2.50461469700000000000,2.47597595910000000000
8,12_tpch.sql,600.27083025970000000000,25.15920462220000000000,1500.0000
8,14_tpch.sql,.03770821420000000000,.03259081230000000000,.03294977000000000000
8,19_tpch.sql,3.14381418590000000000,3.16254778690000000000,3.21961919000000000000
9,6_tpch.sql,1500.054655984,99.281941064,1500.001906837
9,3_tpch.sql,.10287614100000000000,.06950210110000000000,.07635416540000000000
9,7_tpch.sql,20.62880908600000000000,8.26375527660000000000,38.07789220800000000000
9,9_tpch.sql,28.52624488500000000000,23.42998546250000000000,40.33990121320000000000
9,10_tpch.sql,2.77093081050000000000,2.78009436100000000000,2.77577668850000000000
9,12_tpch.sql,808.378238578,26.297774948,1500.002070543
9,14_tpch.sql,.079837536,.044974008,.096059899
9,19_tpch.sql,3.539431748,3.460104487,3.646347712
10,6_tpch.sql,1500.007285114,113.217033432,1500.002053709
10,3_tpch.sql,.232313476,.063605921,.113972818
10,7_tpch.sql,29.842720504,8.606734182,51.481142867
10,9_tpch.sql,43.379243132,25.347304063,53.994900867
10,10_tpch.sql,3.268818736,3.141865297,3.141163012
10,12_tpch.sql,1057.173216064,35.430985189,1500.001812719
10,14_tpch.sql,.080914102,.037179470,.078022929
10,19_tpch.sql,3.972478318,3.833627475,4.089119592